Index,problem,answer,gemini-1.5,yi-lightning,glm-4-plus,doubao-pro
441,The Italian-made OTO-Melara Mod 56 pack howitzer had a barrel length of what in meters?,1.47,0,0,0,1
442,What compilation did Machine Girl release in 2015?,Phantom Tracks,0,0,0,0
443,Who did Buzz Thomas defeat in the 2006 election for the Michigan State Senate - 4th District?,Karen Fobbs,0,0,0,0
444,What is Daryl Dixon's blood type on The Walking Dead (TV series)?,O- blood type.,1,0,0,1
445,In which year did Edward Meyrick first describe Cydalima mysteris?,1886,0,0,0,0
446,"On April 1, 1952, at which university did Hidegorô Nakano become a professor?",Hokkaido University,0,0,0,0
447,"According to Hinduism, which planet is associated with Yamraj?",Pluto,0,0,0,0
448,What years was Antonio de Padua María Severino López de Santa Anna y Pérez de Lebrón vice president?,1837 to 1839,0,0,0,0
449,"On what day, month, and year was Jumbo Circus started in India?",2-Oct-77,0,0,0,1
450,"In 1993, Vaughan Jones was elected to which academy?", American Academy of Arts and Science.,0,0,0,0
451,"Who was the production manager of ThunderCats, the science-fantasy animated television series that was released in 1985?",Masaki Iizuka,0,0,0,0
452,"Which newspaper did György Lukács write, ""The possession of the power of the state is also a moment for the destruction of the oppressing classes. A moment we have to use""?",Népszava,0,0,0,0
453,How many years were Dr. Tony Evans and Lois Evans married?,49,0,0,0,0
454,Who were Antonio Negri's two daughters?,"Anna Negri, Nina Negri",0,0,0,0
455,Who drew a map of 64 stars of the Pleiades from his observations in 1779 and then published it in 1786?,Edme-Sébastien Jeaurat,0,0,0,0
456,"Who did Alfred Georg Hubertus Fischer write the paper ""Orbital Forcing and Sedimentary Sequences"" with?",David J. Bottjer,0,0,1,0
457,Which Google Sheets function is specifically designed to convert a Unix epoch timestamp to a regular datetime in the UTC timezone?,EPOCHTODATE,0,0,0,0
458,Which engineer received the Worcester Reed Warner Medal in 1951?,Jacob Pieter Den Hartog,0,0,0,0
459,"What day, month, and year was the ""Playlist: The Very Best of Heather Headley"" released?",29-May-12,0,0,0,0
460,Who was the recipient of the ISCB Accomplishment by a Senior Scientist Award in 2018?,Ruth Nussinov,0,0,0,0
461,"What are the first, middle, and last names of the spouse of Silas A. Holcomb, the ninth Governor of Nebraska?",Martha Alice Brinson,0,0,0,0
462,What is the height of Vickerman Hill in New York in feet?,"1,142 feet",0,0,0,0
463,Who did Latrice Royale lip-sync against on Episode 9 of Season 4 of RPDR?,Dida Ritz,0,0,1,0
464,What were the month and year when the long-stalled trade agreement with South Korea came into effect in the U.S. Congress?,12-Mar,1,1,0,1
465,"What day, month, and year was the Pradhan Mantri TB Mukt Bharat Abhiyaan Scheme launched in India?",9-Sep-22,0,0,0,0
466,Who is known as the first rock star of the Middle East?,Lydia Canaan,0,0,1,0
467,"What was the total area in square kilometers of Patiala and East Punjab States Union (PEPSU), a state of India uniting eight princely states between 1948 and 1956?","26,208",0,0,0,0
468,Who was the 8th Prime Minister of Nepal?,Jung Bahadur Rana,0,0,0,0
469,"What is the fifth track on Alec Benjamin's album, ""(Un)Commentary""?",speakers ,0,0,0,0
470,Who was the recipient of the ISCB Accomplishment by a Senior Scientist Award in 2003?,David Sankoff,1,0,0,0
471,"In which month and year was Hakyung Lee, the mother of the children whose bodies were found in a suitcase in New Zealand, arrested in South Korea?",22-Sep,0,0,0,0
472,The superfamily Nematocarcinoidea is part of what infraorder?,Caridea,1,0,0,1
473,In which patch was the classic version of the shaman class ability Totemic Focus removed in World of Warcraft?,5.0.4,0,0,1,0
474,"What was the first season in which the number of houseguests for the American version of ""Big Brother"" increased?",2,1,1,0,1
475,"In which street did Martin Gardner live with his family in Hastings-on-Hudson, New York, before moving to Hendersonville in 1979?",Euclid Avenue,0,0,0,0
476,"What's the first and last name of the linguist who wrote the paper ""Pre- and postnominal onymic genitives in (Early) New High German: A multifactorial analysis""?",Tanja Ackermann,0,0,0,0
477,"How many shots did Inter attempt on target in the Champions League Final match between Bayern and Inter on May 23, 2010?",7,0,0,0,0
478,What are the names of the two mathematicians who received the Salem Prize in 1988?,"Alexander Volberg, Jean-Christophe Yoccoz",0,0,1,0
479,"What is the name and surname of the first African American woman to serve as a Portland City Commissioner in Oregon, U.S.?",Jo Ann A. Hardesty,0,0,0,1
480,What is the name of the university in Nepal that was established in 2016 A.D. and is located in Lalitpur?,Nepal Open University,0,1,0,0
481,On the banks of which river in Venezuela was the mission where botanist Pehr Löfling spent his final hours?,Caroní,0,1,0,0
482,In which year was Dina Nath Walli (an Indian watercolor artist and poet from Srinagar city) born?,1908,0,0,0,1
483,"Specify the day, month, and year in which Activision Blizzard announced the upcoming establishment of a new esports division.",21 of October of 2015,0,0,0,0
484,"As of 2011, what was the male population of Chitwan District?","279,087",0,0,0,0
485,Who received the Oskar Kokoschka Prize in 1985?,Gerhard Richter,0,0,0,0
486,"Despite the Warden of the Kingston Penitentiary claiming the treatments were humane, according to the 1856 report, how many bed deprivations with concurrent bread and water diets were given that year?","1,600",0,0,0,0
487,Which was the first Indian album to have more than 1 billion streams on Spotify?,Moosetape,0,0,1,0
488,What was the name of the choir that performed at the 2019 Cape Town International Jazz Festival?,Soweto Gospel Choir,0,0,1,0
489,In what year did Tom Limoncelli and Christine Hogan win the LISA Outstanding Achievement Award from USENIX?,2005,0,1,0,0
490,"By whom was Rabab, a famous musical instrument, introduced in Kashmir?",Zain-ul-Abidin,0,1,0,0
491,In what year did the biochemist Mildred Cohn receive the Golden Plate Award from the American Academy of Achievement?,1984,0,0,0,0
492,"In which year, month, and day was the singer Beele born?",2002 September 30,0,0,0,0
493,At what hospital did Communist politician Georgi Dimitrov die in 1949?, Barvikha sanatorium ,1,0,1,1
494,Which is the largest saltwater lake in India?,Chilika Lake,1,1,1,1
495,Which year did Adil Hussain and Kristen Jain get married?,2007,0,0,0,0
496,In what patch did the item Mechanical Glove change to only apply its damage buff to melee weapons instead of all weapon types in Terraria?,1.2.3,0,1,1,0
497,How many years was Phyllida Barlow's career as a teacher?,40,0,1,1,1
498,Black Gryph0n and Baasik collaborated on which fan-made song in 2021 about Hazbin Hotel's character Alastor?,Insane,0,0,0,0
499,"In which year did Hossein Baharvand, an Iranian stem cell and developmental biologist, receive the Mustafa Prize?",2019,0,0,0,0
500,"What song (title and artist) inspired Tuesday from the anime ""Carole & Tuesday"" (2019) to run away from home to pursue music?",Cyndi Lauper - True Colors,0,0,0,0
501,"What is the name of the university where Ana Figueroa, a political activist and government official, studies and graduates from?",University of Chile ,0,1,0,0
502,Who preceded Oscar Alende as governor of the Province of Buenos Aires?,Emilio Alvaro Bonnecarrere,0,0,0,0
503,"What day, month, and year was the New Zealand actress Jennifer Kay Ludlam born?",23-Jul-51,0,0,0,0
504,"What is the Regional Transport Office (RTO) code for the Kolasib location in Mizoram, India?",MZ-05,0,0,0,1
505,What year did Jun Takahashi hold his first men's-only runway show?,2009,0,0,0,0
506,"Who are Myrtle Eagan's parents in the show ""Severance""?",Kier and Imogene Eagan,0,0,0,0
507,What was the first name of the wife of the American chemist Ralph E. Oesper?,Helen,0,0,0,0
508,"How many years was the Legacy of Walt Disney museum open at Disneyland, CA?",3,0,0,0,0
509,"Who did Rose Matafeo join in July 2020 on the comedy show Tiny Tour of Aotearoa, traveling across New Zealand?",Guy Montgomery,0,1,0,1
510,What was Yoido Full Gospel Church's membership in 1968?,8000,0,0,0,0
511,"On what day, month, and year did engraver George Cooke die?",27 February 1834,0,0,0,0
512,"What year was the municipality of San José de la Montaña, Antioquia, Colombia, founded?",1916,0,0,0,0
513,Who was the Argentine-English-American mathematician and biochemist famous for her use of mathematical techniques to deduce protein structure?,Dorothy Maud Wrinch,0,1,0,0
514,"Who won the 2015 Maine State Pumpkin and Squash Weigh-Off, held at the Cumberland Fair?",Edwin Pierpont,0,0,0,0
515,Who was the inaugural winner of the Riemann Prize in 2019?,Terence Tao,0,0,0,0
516,"What was the age range of the drivers whose EEG data was collected in the 2021 research paper titled ""EEG-Based Driving Fatigue Detection Using a Two-Level Learning Hierarchy Radial Basis Function"" by Ziwu Ren et al.?",23-27,0,1,1,0
517,Which medal in the 1932 Summer Olympics art competition did Frederick William MacMonnies receive?,Silver ,0,1,0,0
518,Who was the president of the University of Puerto Rico in 2003?,Antonio Garcia Padilla,0,0,0,1
519,Which Victoria and Albert Museum director described it as “a refuge for destitute collections�?,Sir Henry Cole,1,0,0,1
520,"In the British drama series ""Happy Valley,"" who does Alec Secareanu play?",Darius Knezevic.,0,0,0,1
521,What university did Berlinda Tolbert major in theater at?,Berlinda Tolbert majored in theater art at the University of North Carolina School of the Arts in Winston-Salem.,0,0,1,0
522,What part of the body do the eggs of moon jellies lodge in?,The oral arms. ,0,1,0,1
523,"Before the New 52, who murdered the supervillain Monsieur Mallah?",Gorilla Grodd,0,0,1,0
524,"How many acres of land did Oprah Winfrey purchase in Rolling Prairie, Indiana, as her weekend refuge in 1998?",164,1,0,1,0
525,"What were the day, month, and year when Meta services suffered their worst outage since 2008, bringing down Instagram, Facebook, and WhatsApp?",4-Oct-21,1,1,0,1
526,What President nominated Elliott Fitch Shepard as United States Attorney for the Southern District of New York?,Rutherford B. Hayes,0,0,0,0
527,"What town in the Southwest region of Western Australia, located 212 kilometers south of Perth and midway between Bunbury and Busselt, was originally inhabited by the Wardandi Noongar people?",Capel,0,0,1,0
528,What's the secret identity of the third Doll Man?,Dane Maxwell,1,1,0,0
529,"On what date, month, and year was Jean Benoît Guillaume Robert Antoine Louis Marie Adolphe Marc d'Aviano named Lieutenant-Representative of the Grand Duchess?",28 April 1961.,0,0,1,0
530,"In what year did Eilenberg, in a joint paper with Chevalley, give an algebraic approach to the cohomology of Lie groups using the Lie algebra as the basic object?",1948,1,1,0,1
531,How many million viewers of the inaugural season of Ultimate Kho Kho (UKK) were from India?,41 million,0,0,1,0
532,What was the statement famously made by Thomas Edison during the first public demonstration of the incandescent light bulb at Menlo Park regarding the eventual cost of electricity?,"""We will make electricity so cheap that only the rich will burn candles.""",0,1,1,1
533,"What day, month, and year was Massimo Cacciari, an Italian philosopher and politician, born?",5-Jun-44,0,1,0,0
534,"On what month, day, and year did NASA announce the selection of its eighth group of astronaut candidates, which included the first women (six mission specialists)?",16-Jan-78,1,1,0,1
535,"Who was the deputy leader of the Italian team at the 63rd IMO (International Mathematical Olympiad), held in 2022?",Marco Trevisiol,0,0,0,0
536,At which hospital did cookbook author and celebrity chef Fatima Sydow pass away?,Vincent Pallotti Hospital,0,0,0,0
537,"The Arvida Theatre, built in 1927 in Saguenay, Québec, was built according to the plans of which architect?",Alfred Lamontagne,0,0,0,0
538,"What was the day, month, and year when Mario-Rafael Ionian, an Austrian former competitive figure skater, was born?",14 October 1990.,0,0,0,0
539,"As of 2018, what is the street name where the Design Museum of Chicago is located?",Expo 72 (72 E. Randolph St).,1,0,0,1
540,In which month and year did 175 crews serve rotations at the Mars Desert Research Station over a period of sixteen years?,17-Feb,0,1,0,0
541,"On what date, month, and year was the Public Order Ordinance commenced in Hong Kong?",17-Nov-67,0,0,0,0
542,What was the title of Paola Massarenghi's spiritual madrigal printed in Arcangelo Gherardini's *Primo libro de madrigali a cinque voci* in 1585?,Quando spiega l'insegn'al sommo padre,0,0,1,0
543,"What year was the municipality of Guatapé, Antioquia, Colombia, founded?",1811,1,1,0,1
544,What was the first name of Swiss painter Benjamin Samuel Bolomey's mother?,Pernette ,0,0,0,0
545,What piece of art by Antonio da Correggio did Augustus III of Poland buy in 1746?,Magdalen in the Desert,0,0,0,0
546,"What was the name of the Yale Bright Star Catalogue's direct predecessor, published in 1908?",Harvard Revised Photometry Catalogue,1,0,0,0
547,What was the title of chemist Mary Letitia Caldwell's Ph.D. thesis?,An experimental study of certain basic amino acids ,0,0,1,0
548,"In the match between Sri Lanka and West Indies, Final at Colombo, Oct 07, 2012, who was the match referee?",Jeff Crowe ,0,0,1,1
549,"What item did Cornelia Parker dissolve to create ink for her work ""Pornographic Drawings (1997)""?",Videotape,0,0,1,0
550,"On what day, month, and year did Max Wolf discover his first asteroid, 323 Brucia?",22 December 1891,1,1,0,1
551,"What month, day, and year did Laura Toggs and her husband Peter Toganivalu, founders and global pastors of the youth ministry group Hillsong Young & Free, announce to the church that they were leaving Hillsong?",May 10 2023,0,0,0,0
552,Who won the Heinz Hopf Prize in 2019?,Ehud Hrushovski,0,0,0,0
553,Which foreign merchant was issued the right to transact slaves on Spain's behalf and ordered regulations on trade with Cuba?,Asiento de Negros,0,0,0,0
554,"What day, month, and year was the first Sazae-san strip run by the Asahi Shimbun published?",30-Nov-49,0,0,0,0
555,"On what specific day, month, and year was Carrie Underwood's album ""Cry Pretty"" certified Platinum by the RIAA?",12-Feb-20,0,0,0,0
556,Jackie Ormes was the arts editor for the Monongahela High School yearbook during which academic year?,1929�?930,0,1,0,0
557,Who did the International Photography Awards of 2020 give the Nature Photographer of the Year Award to?,Ari Rex,0,0,0,0
558,At which art institute did Cornelia Parker have her first solo museum exhibition?, Institute of Contemporary Art Boston,0,0,1,0
559,"In the game Terraria, what update added the set bonus to the Robe item when worn with the Magic Hat?",1.2.3,0,1,0,0
560,"What was the month and year Dudley Carleton, 1st Viscount Dorchester, was created Viscount Dorchester?",July 1628,0,0,0,0
561,"Which YouTuber hosted the 12th Streamy Awards on December 4, 2022, at the Beverly Hilton in Los Angeles?",Airrack,0,0,0,0
562,"What year was the municipality of Donmatías, Antioquia, Colombia, founded?",1787,0,0,0,0
563,What is the ChemSpider ID of diazepam?,2908,0,0,1,0
564,What's the first NT version of Windows that wasn't branded as NT?,Windows 2000,0,0,0,1
565,"On which day, month, and year did Egypt play against Angola in Group A of the 1996 African Cup of Nations?",15-Jan-96,0,0,0,0
566,In which month and year did Naresh Trehan (an Indian cardiovascular and cardiothoracic surgeon) move to the USA and become a first-year resident at the Thomas Jefferson University Hospital in Philadelphia?,Nov-69,0,0,0,0
567,Which fraternity did John Gilbert Layton become a part of while at McGill University?,Sigma Chi,1,0,0,0
568,"When, where, and by whom was IFK founded?","1 February 1895, Stockholm by Louis Zettersten and Pehr Ehnemark",0,0,0,0
569,"What month and year were the Opuke Thermal Pools & Spa opened in Methven, New Zealand?",21-Nov,0,0,0,0
570,In what month and year did Wangchuk start a project called the Ice Stupa?,January 2014.,0,1,0,0
571,"How many minutes and seconds is the length of Sidhu Moosewala's song ""Death Route""?",3:37,1,0,0,0
572,"On what day, month, and year did the 2nd ASEM Environment Ministers' Meeting (ASEMEnvMM2) begin?",12-Oct-03,0,0,0,0
573,What was the date (day/month/year) of the professional rower Albert Hamm's (1860-1891) first professional race?,"August 1st, 1880",0,0,0,0
574,"In what year did the biochemist Mildred Cohn publish her work titled ""A Study of Oxidative Phosphorylation with O-18 Labeled Inorganic Phosphate""?",1953,0,0,1,0
575,Who was the lead sound for the Kirby Star Allies 2019 original soundtrack?,Hirokazu Ando,1,1,0,1
576,What patch reduced the amount of damage taken in Berserk Stance from 10% to 5% in World of Warcraft?,Patch 3.1.0,1,0,0,0
577,Who performed the theme song for the 1989 Leeds International Film Festival opener *Shirley Valentine*?,Patti Austin,0,0,0,0
578,"What year is Anselm Kiefer's ""The Second Sinful Fall of Parmenides (Der zweite Sündenfall des Parmenides)"" dated?",1969,0,0,0,0
579,How heavy is my Ricoh GR III body only in grams?,227 grams,0,0,0,0
580,What were the original names of the first three ships in the Sea Organization associated with the Church of Scientology?,"Avon River, Enchanter, and HMS Royal Scotsman",1,0,0,0
581,"What were the month, day, and year of philosopher Edmund Burke's last day in office as Paymaster of the Forces?",8 January 1784,0,0,0,0
582,On what year was the JK Tyre Rotax Max Karting Championship launched in India?,2005,0,0,0,0
583,Which two months did Pep Guardiola win the Manager of the Month award in the 2021-22 Premier League season?,November and December 2021,0,0,0,0
584,"What day, month, and year was Rosa Whitaker Day proclaimed by Rep. Charles Rangel?",9-Jul-16,0,0,0,0
585,"What is the first name of Squire Boone, Sr., and Sarah Morgan Boone's youngest daughter, born in 1746?",Hannah,0,1,0,0
586,Who served as the music director of the London Sinfonietta from 1994 to 1998?,Markus Stenz,0,0,0,0
587,How many votes did the Slovene Unified List get for the Chamber of Deputies in the 1963 Italian General Election?,"5,679",0,0,0,0
588,"In which city did the main characters of ""The Parkers"" live?",Santa Monica,0,0,0,1
589,Which college in Srinagar was accredited as the College for Potential Excellence by the University Grants Commission (India) in April 2010?,Islamia College of Science and Commerce,0,1,0,0
590,"From which date, month, and year to which date, month, and year did the Indian lawyer L. N. Sinha serve as Attorney General of India?","August 9, 1979 - August 8, 1983",0,0,0,0
591,"What year was the municipality of Jenesano, Boyacá, Colombia, founded?",1828,0,0,0,0
592,"How long, in minutes and seconds, is Beyoncé's album ""Dangerously in Love""?",60:52:00,0,0,1,0
593,"What day, month, and year did William II of Holland become King of Germany?",3 October 1247,0,1,0,0
594,"What are the first name, middle name, and surname of the American politician who served in the California State Assembly from 1967 to 1976 and who died on February 6, 2007?",Leon Douglas Ralph,0,0,0,0
595,"What were the day, month, and year when Hum TV shut down its SD feed and shifted to HD in Pakistan?",1-May-18,0,0,0,0
596,"Which DropoutTV series is a spin-off of ""Game Changer"" inspired by its ""Noise Boys"" episodes?",Make Some Noise,0,0,0,0
597,"The Partial Solar Eclipse of January 1, 1805 was a part of which Saros series?",Saros 109,0,0,0,0
598,"In which month and year did Jose Maria Canlas Sison marry his wife, Julie de Lima, in a Catholic church?",Jan-60,0,0,0,0
599,Who received an honorable mention at the 1996 Frank and Brennie Morgan Prize for Outstanding Research in Mathematics by an Undergraduate Student?,Lenhard Ng,0,0,0,0
600,"Who described Indira Gandhi as the ""Iron Lady""?",Henry Kissinger ,0,0,1,0
601,Who was awarded the Darwin Medal in 1952?,J.B.S. Haldane,0,0,1,0
602,"On what day, month, and year was Javier Zanetti's first daughter born?",11-Jun-05,0,0,0,0
603,"On what day, month, and year was Shah Faesal (an Indian bureaucrat) appointed as the Assistant Commissioner, Revenue, of Pulwama district, Kashmir?",16-Aug-12,0,0,1,0
604,For what career did Eddie Marsan leave school at 16?, apprentice printer,0,1,0,0
605,Who wrote the paper 'Multidimensional Scaling and Other Techniques for Uncovering Universals'?,"William Croft, Keith Poole",0,0,0,0
606,"Who was the guest star who played Carter on S5 E9 of ""The Dukes of Hazzard""?",Brett Halsey,0,0,0,0
607,"In what year was Antonio Giolitti awarded the Cavaliere di Gran Croce, the highest honor bestowed by the President of the Italian Republic?",2006,0,0,0,0
608,"What was Jeffrey Epstein's released bond in dollars on July 27, 2006, at the Palm Beach County jail?","$3,000 bond",0,0,0,0
609,"In Game 2 of the '04 ALCS, who singled to lead off the 8th inning?",Trot Nixon,0,0,0,0
610,"On what day, month, and year did the Rapid Action Battalion oversee the exhumation of the corpses of Sagar Sarowar and Meherun Runi for the purpose of a viscera test?",26-Apr-12,0,0,0,0
611,"The Persina Nature Park in Bulgaria was originally established on what day, month, and year?","December 4, 2000.",0,0,0,0
612,In what year was Pipilotti Rist first awarded the 'St. Galler Kulturpreis der St. Gallischen Kulturstiftung'?,2007,0,0,0,0
613,"On what day, month, and year did Mira Sintra-Meleças railway station open for revenue service?",29-Nov-04,0,0,0,0
614,How old was Lillian Marie Bounds when her father passed away?,17 years old. ,0,0,0,0
615,Who was the recipient of the ISCB Accomplishment by a Senior Scientist Award in 2019?,Bonnie Berger,1,1,0,0
616,What is the surname of the individual who won the Marlow Award in 1983?,Oxtoby,0,0,0,0
617,"What day, month, and year was the municipality of Tipacoque, Boyacá, Colombia, created?","November 28th, 1968",0,0,1,0
618,In which year of the Olympics did Grand Seiko become the Official Timer?,1964,0,0,0,0
619,What is the second-largest island in the world that is part of Indonesia?,New Guinea,1,1,0,1
620,What is the surname of the individual who won the Polanyi Medal for outstanding contributions to the field of gas kinetics in 1982?,Thrush,0,0,0,0
621,How many gold medals in fencing did Hungary win during the 1964 Summer Olympics?,4,1,0,1,0
622,At what university was Lois Griffiths appointed as an instructor in mathematics immediately following the award of her doctorate?,Northwestern.,0,1,1,0
623,"What year was the municipality of Santa Rosa de Osos, Antioquia, Colombia, founded?",1636,0,0,0,0
624,"How many spin-offs of the journal ""Circulation"" did the American Heart Association launch in 2008?",6,0,0,0,0
625,"In Game 7 of the '04 ALCS, who did Pedro Martinez give up a leadoff double to?",Hideki Matsui,0,0,0,0
626,"What year was the municipality of Chiscas, Boyacá, Colombia, founded?",1777,0,0,0,0
627,Which country is the species Acanthops bidens native to?,Mexico,1,0,0,0
628,What were the month and year when Telegram reached 180 million monthly active users?,17-Dec,0,0,0,1
629,What is the first and last name of the first American transgender person featured in the National Portrait Gallery?,Sylvia Rivera,0,0,0,0
630,In which month and year was Satyanarayan Gangaram Pitroda (an Indian telecommunication engineer and entrepreneur) appointed as advisor to Indian Prime Minister Manmohan Singh on Public Information Infrastructure and Innovations with the rank of Cabinet Minister?, October 2009,0,0,1,0
631,"Who wrote the lyrics for the official anthem of the state of Hesse, Germany?",Carl Preser,0,1,0,0
632,What does the band name Shai mean in Swahili?,Personification of destiny,0,0,0,0
633,Which city is known as the Rice Bowl of Kashmir?,Pulwama,0,0,0,0
634,Which president had a meeting with Kwame Nkrumah right before the Kulungugu bomb attack?,Maurice Yameogo,0,0,0,0
635,What is the surname of the individual who won the Victor A. Prather Award in 1968?,Forbes,0,0,0,0
636,"What was the muse's name for the sketch ""Serena in the Boat of Apathy,"" purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund in 1996?",Emma Hamilton,0,0,0,0
637,"On March 22, 2011, who was the Pakistani leader of Jama'at-ud-Da'wah who issued a $2.2 million fatwā for anyone who killed Pastor Terry Jones?",Amir Hamza,0,0,0,0
638,"What years did Ana Figueroa represent Chile as ""Minister Plenipotentiary"" at the United Nations?",1950-52,0,0,1,0
639,What was the first name of the Irish-born computer programmer Kathleen Rita McNulty Mauchly Antonelli's father?,James,0,0,0,0
640,"On which day, month, and year was Sunil Das (an Indian expressionist painter) born?",4-Aug-39,0,0,0,0
641,Which radio station did Belva Davis work at as a disc jockey in 1964?,KDIA.,0,1,1,1
642,"Cildo Meireles began working on ""Virtual Spaces"" during what year?",1968,0,0,0,0
643,"On what day, month, and year was Henry Ernest Gascoyne Bulwer born?",11 December 1836,0,0,0,0
644,In what year did Carlotta Gall start her career?,1994,0,1,0,0
645,"How many sons and daughters did former State President of South Africa, P.W. Botha, have with his wife Anna Elizabeth Rossouw?",two sons and three daughters.,0,0,0,0
646,"On what day, month, and year was Dr. Sanduk Ruit conferred with the National Order of Merit of Bhutan in Gold?",17-Dec-15,0,0,0,0
647,What were the names of the two streets at the intersection where the Sydenham Hospital in New York was originally located?,124th Street and Manhattan Avenue,0,0,0,0
648,"What was the first and last name of Margaret Bourchier, Countess of Bath's first child from her second marriage?",Jane Long,0,0,0,0
649,"What were the first and last names of Welsh journalist Wyre Davies' maternal grandfather, who captained *Harmanteh*?",Evan Rowlands,0,0,0,0
650,Who won the Kalinga Prize for the Popularization of Science in 1969?,Konrad Lorenz,0,0,0,0
651,What is the title of the painting Sir William Beechey (British portraitist) painted for the 1798 exhibition of the Royal Academy?,George III and the Prince of Wales Reviewing Troops,0,0,0,0
652,Who won the Margaret Oakley Dayhoff Award in 2003?,Hao Wu,0,0,1,0
653,In what year was the District of Columbia Baptist Convention excommunicated due to its support of LGBTQ inclusion?,2018,0,0,1,0
654,"Name the Prime Minister who laid the foundation stone of the Government Medical College located in Srinagar, Kashmir, on 13 June 1957?",Jawaharlal Nehru,1,1,0,1
655,In what year was John Lennon's psychedelic Rolls-Royce shown at the Pacific National Exhibition?,2014,0,0,1,0
656,How many colors does the Zambian flag have?,"Four - Green, Red, Black, Orange.",0,1,0,1
657,"In what year did Francesco ""Franco"" Giordano become a member of the Italian Communist Party?",1974,0,0,0,0
658,In which episode of the anime Death Note is Mikami first introduced? Give me the number and title.,"Episode 31, ""Transfer""",0,0,0,0
659,"Other than being a choreographer for the TV series In Living Color, what other job did Rosie Perez do on the show?",segment producer,0,0,0,0
660,"In which year were the two novel RNA viruses, distantly related to pestiviruses and coltiviruses, detected in the genomes of dead Manis javanica and Manis pentadactyla?",2020,1,1,0,0
661,"Who was the 3rd CEO of Lumon Industries in the show ""Severance""?",Myrtle Eagan,0,0,0,0
662,In which town in New Zealand was actress Amanda Billing born and raised?,Masterton,0,0,1,0
663,What is the surname of the individual who won the Beilby Medal and Prize in 2009?,Bao,0,0,0,0
664,"In which year was the municipality of Vegachí, Antioquia, Colombia, founded?",1950,0,0,1,0
665,In which season and episode of Archer is Cheryl revealed to be a millionaire?,"Season 2, Episode 10",0,0,0,0
666,"What is the weight of the Phosphorescent Pole weapon in Demon's Souls (2009) using the in-game units of weight, which are called ""units""?",4.0 units,1,0,0,0
667,"What number step is ""ubusuna jinja ni kiyu hokokuh"" in the Shinto funeral process?",7,0,0,1,0
668,What is Vergil's battle quote about bedtime when he stabs the player playing as Nero in Devil May Cry 5?,It's past your bedtime,0,1,0,0
669,"Which streamer won the ""Best Variety Streamer"" award at The Streamer Awards in 2022?",moistcr1tikal,0,0,0,0
670,What year did the Evolution Festival introduce an entry charge?,2008,0,0,1,1
671,What is a bridge called in Kashmiri?,Kadal,0,0,0,0
672,"As of the 2020 census, what was the population of the city of Fort Oglethorpe, which is in the U.S. state of Georgia?","10,423",0,0,0,0
673,"In Season 15, Episode 1 of Law & Order: Special Victims Unit, on what New York island did William Lewis hide Olivia?",Long Island,0,0,0,0
674,Which female chemist was awarded the Garvan–Olin Medal in 1952?,Gladys A. Emerson,0,0,1,0
675,"In what year, under the leadership of Superintendent Jim Northup, did Shenandoah National Park establish an Artist-in-Residence Program that is administered by the Shenandoah National Park Trust, the park's philanthropic partner?",2014,0,0,1,0
676,In what year was the minor planet 3586 Vasnetsov discovered?,1978,1,1,0,0
677,"In the 2020 census, what was the population of Seneca Township in Lenawee County?","1,155",0,0,0,0
678,During what year did Tatsuo Miyajima have his first solo exhibition?,1983,0,0,0,0
679,"In what year did John William Robert Kerr, 7th Marquess of Lothian, enter the House of Commons as a representative for Huntingdon?",1820,1,0,0,0
680,"What is the depth of Wular Lake in meters, located in Jammu & Kashmir?",14,0,1,0,1
681,"What was the economy rate of S. N. Thakur per over in the match between CSK and DC in IPL 2019 that happened on May 10, 2019?","13.00	",0,0,0,0
682,What is the name of the individual who was awarded the Paul Karrer Gold Medal in 2004?,Ada Yonath,0,0,0,0
683,During which year did Yayoi Kusama have her first exhibition in Spain?,2011,0,1,0,0
684,Which religion is the third largest among Singaporean residents based on the 2020 census?,Islam,0,1,0,0
685,In which Swiss municipality was the painter Jean Preudhomme baptized in 1732?,Rolle,0,0,1,0
686,During what year did Isa Genzken divorce Gerhard Richter?,In 1993. ,0,0,0,1
687,"How many UN Volunteers served in 54 United Nations missions, agencies, funds, and programs across the globe in 2019?","8,282",0,0,1,1
688,From which president did Yo-Yo Ma receive the Presidential Medal of Freedom?,President Obama ,1,0,0,1
689,"In Season 1 of The Bachelor, which contestant was a waitress at Hooters?",Angela Lowery,0,0,0,0
690,"In which year was a replacement pink donut with sprinkles sculpture unveiled in Springfield, New Zealand following arson?",2012,0,0,0,0
691,"Who was the chief guest of the eighteenth convocation of Indira Gandhi National Open University, New Delhi, held in 2007?",Justice K. G. Balakrishnan,0,0,0,0
692,"In which month and year did American mathematics professor and blackjack researcher Edward Oakley Thorp first get married to his wife, Vivian?",Jan-56,0,1,0,1
693,"The first public showings of ""Another Day in America"" by Laurie Anderson were in which city?",Calgary,0,0,0,0
694,"Babymetal's song ""Road of Resistance"" charted at what number on the Billboard World Digital Songs chart for the week of February 21, 2015?",22,0,0,0,0
695,"What character did Julie Depardieu play in the TV movie ""La Passion du Docteur Bergh""?",Valerie Letechin,0,0,0,0
696,Who won the first National Kho Kho Championship in England in 2015?,The Finchley Shakha Kho Kho Team,0,0,0,0
